SKU,Name,Length,Width,Height,Weight,URL
00291787,"SILVERHÖJDENFrame, silver-colour,40x50 cm",53.0,43.0,2.0,1.0,https://www.ikea.com/nl/en/p/00291787/
00291626,"SELSVIKENDoor, high-gloss black,60x64 cm",70.0,61.0,2.0,4.6,https://www.ikea.com/nl/en/p/00291626/
00295304,"BESTÅTop panel for TV, glass black,180x40 cm",191.0,41.0,1.0,7.77,https://www.ikea.com/nl/en/p/00295304/
00294979,"KARMSUNDTable mirror, black,27x43 cm",31.0,26.0,3.0,1.7,https://www.ikea.com/nl/en/p/00294979/
00291674,"LAPPVIKENDoor/drawer front, white,60x38 cm",66.0,39.0,2.0,3.03,https://www.ikea.com/nl/en/p/00291674/
00297850,"UPPHETTACoffee/tea maker, glass/stainless steel,0.4 l",17.0,14.0,9.0,0.29,https://www.ikea.com/nl/en/p/00297850/
00295554,"BESTÅShelf, white,56x36 cm",59.0,36.0,2.0,2.64,https://www.ikea.com/nl/en/p/00295554/
00295549,"BESTÅShelf, white stained oak effect,56x36 cm",59.0,36.0,2.0,2.64,https://www.ikea.com/nl/en/p/00295549/
00295530,"BESTÅGlass shelf, glass,56x16 cm",58.0,18.0,1.0,0.94,https://www.ikea.com/nl/en/p/00295530/
00296172,"ELVARLIBracket for post, white,51 cm",53.0,5.0,3.0,0.48,https://www.ikea.com/nl/en/p/00296172/
00296214,"ELVARLIClothes rail, white,80 cm",98.0,3.0,3.0,0.55,https://www.ikea.com/nl/en/p/00296214/
00295653,"FISKBOFrame, white,10x15 cm",18.0,13.0,1.0,0.12,https://www.ikea.com/nl/en/p/00295653/
00299260,"LAXVIKENDoor, black,60x64 cm",73.0,60.0,2.0,5.28,https://www.ikea.com/nl/en/p/00299260/
00296313,"SINDVIKGlass door, black-brown/clear glass,60x64 cm",73.0,61.0,2.0,4.7,https://www.ikea.com/nl/en/p/00296313/
00298128,"TYSSEDALWardrobe, white/mirror glass,88x58x208 cm",188.0,61.0,10.0,84.9,https://www.ikea.com/nl/en/p/00298128/
00299689,"BRENNÅSENLeg, black stained,20 cm",29.0,23.0,8.0,2.7,https://www.ikea.com/nl/en/p/00299689/
00299694,"BJORLILeg, stainless steel,20 cm",24.0,16.0,4.0,0.91,https://www.ikea.com/nl/en/p/00299694/
00299825,"KRAGSTANest of tables, set of 2, black",78.0,52.0,4.0,7.85,https://www.ikea.com/nl/en/p/00299825/
00300353,"FISKBOFrame, black,10x15 cm",18.0,13.0,1.0,0.12,https://www.ikea.com/nl/en/p/00300353/
00306920,"IKORNNESTable mirror, ash,27x40 cm",43.0,28.0,4.0,1.29,https://www.ikea.com/nl/en/p/00306920/
00300386,"FISKBOFrame, white,40x50 cm",54.0,44.0,1.0,0.55,https://www.ikea.com/nl/en/p/00300386/
00307552,"BESTÅBox, grey,25x31x15 cm",31.0,16.0,4.0,0.22,https://www.ikea.com/nl/en/p/00307552/
00300664,"BRIMNESCabinet with doors, glass/black,78x95 cm",97.0,42.0,8.0,39.0,https://www.ikea.com/nl/en/p/00300664/
00309198,"VIDJAFloor lamp, white,138 cm",47.0,28.0,10.0,3.5,https://www.ikea.com/nl/en/p/00309198/
00309594,"ELVARLICross-brace, white,80 cm",106.0,1.0,1.0,0.23,https://www.ikea.com/nl/en/p/00309594/
00309829,"LÄMPLIGChopping board, bamboo,53x46 cm",53.0,46.0,3.0,3.22,https://www.ikea.com/nl/en/p/00309829/
00310960,"CACTACEAEPotted plant, assorted Cactus,12 cm",18.0,16.0,16.0,0.46,https://www.ikea.com/nl/en/p/00310960/
00314468,"SKOGSKLÖVERRoller blind, white,60x195 cm",72.0,7.0,6.0,0.87,https://www.ikea.com/nl/en/p/00314468/
00316047,"BORGHAMNHandle,40 mm",14.0,11.0,2.0,0.1,https://www.ikea.com/nl/en/p/00316047/
00315726,"PERSILLADEPlant pot, dark grey,12 cm",13.0,14.0,14.0,0.59,https://www.ikea.com/nl/en/p/00315726/
00319017,"OFANTLIGTSide plate, white,22 cm",2.0,22.0,22.0,0.44,https://www.ikea.com/nl/en/p/00319017/
00319362,"MAXIMERADrawer, high, white,60x45 cm",56.0,50.0,9.0,6.56,https://www.ikea.com/nl/en/p/00319362/
00319357,"MAXIMERADrawer, low, white,40x37 cm",36.0,32.0,8.0,3.31,https://www.ikea.com/nl/en/p/00319357/
00319022,"OFANTLIGTMug, white,31 cl",11.0,9.0,9.0,0.28,https://www.ikea.com/nl/en/p/00319022/
00320134,"FLEKKEDay-bed frame with 2 drawers, white,80x200 cm",205.0,81.0,11.0,79.65,https://www.ikea.com/nl/en/p/00320134/
00320723,"IDÅSENUnderframe sit/stand f table tp, el, dark grey,146x70 cm",76.0,61.0,18.0,30.0,https://www.ikea.com/nl/en/p/00320723/
00320799,"SKÅDISShelf, white",28.0,11.0,3.0,0.23,https://www.ikea.com/nl/en/p/00320799/
00317532,"ELVARLISide unit, white,36x216 cm",229.0,23.0,5.0,5.03,https://www.ikea.com/nl/en/p/00317532/
00320054,"LILLABO20-piece basic train set, multicolour",27.0,15.0,8.0,1.07,https://www.ikea.com/nl/en/p/00320054/
00317527,"ELVARLIBracket for post, white,36 cm",38.0,4.0,3.0,0.36,https://www.ikea.com/nl/en/p/00317527/
00318942,"OFTASTDeep plate, white,20 cm",0.0,20.0,20.0,0.28,https://www.ikea.com/nl/en/p/00318942/
00320803,"SKÅDISPegboard, white,56x56 cm",61.0,57.0,2.0,1.74,https://www.ikea.com/nl/en/p/00320803/
00321317,"ÅRSTIDFloor lamp, brass/white",43.0,37.0,37.0,4.68,https://www.ikea.com/nl/en/p/00321317/
00321614,"SKÅDISClip, white",12.0,5.0,3.0,0.06,https://www.ikea.com/nl/en/p/00321614/
00324518,"KALLAXShelving unit, white stained oak effect,77x147 cm",149.0,41.0,16.0,20.1,https://www.ikea.com/nl/en/p/00324518/
00328540,"BROGRUNDToilet roll holder, stainless steel",14.0,9.0,6.0,0.23,https://www.ikea.com/nl/en/p/00328540/
00329040,"BERÄKNABowl, clear glass,26 cm",0.0,26.0,26.0,0.75,https://www.ikea.com/nl/en/p/00329040/
